iter	F1	Logloss
0	0.9714365528	0.6175445984
1	0.9713715078	0.5519515817
2	0.971358122	0.5011625806
3	0.9713253009	0.4605595904
4	0.9713218172	0.4207606572
5	0.9713191281	0.3903401047
6	0.9713195559	0.3596310188
7	0.9713193725	0.333562413
8	0.9713199226	0.3127105491
9	0.9713209616	0.2935641923
10	0.9713226117	0.2780991824
11	0.9713268899	0.2651212445
12	0.9713271344	0.2531146518
13	0.9713287235	0.2433713855
14	0.9713292124	0.2336160152
15	0.9713270122	0.2255826549
16	0.9713389302	0.2185581902
17	0.9713474259	0.2125605153
18	0.9713572052	0.2064724385
19	0.9713557994	0.2022911759
20	0.9713702853	0.1984611396
21	0.9713781091	0.1946260689
22	0.9713859331	0.1916934513
23	0.9714252992	0.1888725461
24	0.9714512801	0.1864098263
25	0.9714697427	0.1841245157
26	0.9714904069	0.1818999882
27	0.9715306986	0.1798373356
28	0.9715588864	0.177685511
29	0.9715842019	0.1763026881
30	0.9716439643	0.1745072257
31	0.9717029548	0.1731443435
32	0.9717688424	0.1717165152
33	0.9718540202	0.1705866271
34	0.9718601999	0.1696741719
35	0.9719807508	0.1684221822
36	0.9720291103	0.1673956423
37	0.9721003505	0.1664366807
38	0.9721703443	0.165658071
39	0.9722127401	0.1647765909
40	0.972250591	0.1640749399
41	0.972288926	0.1634751305
42	0.9723778462	0.1626830471
43	0.9724289419	0.1620731731
44	0.9725320876	0.1613687505
45	0.9726350021	0.1607300649
46	0.9727020008	0.1602228759
47	0.9727712257	0.1595003147
48	0.9728528133	0.158804557
49	0.9729307598	0.1583625727
50	0.9729950316	0.1580033322
51	0.9731188558	0.1573713534
52	0.9731906802	0.1569025113
53	0.9732594911	0.156581584
54	0.973328408	0.1559860912
55	0.9734182776	0.1555263798
56	0.9734733958	0.1551489326
57	0.9735218668	0.1546570567
58	0.9735632395	0.1542873216
59	0.9736538525	0.1538105369
60	0.9737601608	0.1532435129
61	0.9738259476	0.1527965586
62	0.9738689328	0.1524598768
63	0.973935978	0.1519678303
64	0.9740134712	0.1515814884
65	0.9740705667	0.1512661145
66	0.9741681052	0.1508549701
67	0.9742297599	0.1504097293
68	0.974309721	0.1500716062
69	0.9743564588	0.1497032745
70	0.9744234644	0.1492298345
71	0.9744701265	0.1489625021
72	0.9745679472	0.148505707
73	0.9746442953	0.1481083296
74	0.974718031	0.1477084561
75	0.9747727681	0.1474397564
76	0.9748140277	0.1471155448
77	0.9748700847	0.1468139117
78	0.9749165698	0.1464731568
79	0.9749606262	0.1461497331
80	0.9750078797	0.145801839
81	0.9750644731	0.1454965591
82	0.9751054674	0.1451790592
83	0.9751476188	0.1449094357
84	0.9752141121	0.1445666391
85	0.9752772653	0.1442788557
86	0.9753246791	0.1441015046
87	0.975373084	0.143880294
88	0.975456115	0.143471825
89	0.9755138136	0.1430931921
90	0.9755436597	0.14289641
91	0.9755684659	0.1426835254
92	0.9756051921	0.1424374305
93	0.9756525146	0.1421985402
94	0.975696883	0.1419114753
95	0.9757456662	0.1416281951
96	0.9757837032	0.1413484923
97	0.9758303205	0.141094163
98	0.9758501145	0.1409110759
99	0.9758841194	0.1407262414
100	0.9759196036	0.1404752263
101	0.9759848141	0.1402024729
102	0.9760235927	0.1399712457
103	0.9760564543	0.1397353015
104	0.9761337367	0.139469358
105	0.9761696163	0.1391742717
106	0.9761938847	0.1390134691
107	0.9762403086	0.1386685362
108	0.9762864835	0.1384463421
109	0.9763159015	0.1381998084
110	0.9763603775	0.1379726133
111	0.9763978145	0.137661475
112	0.9764262447	0.1374798976
113	0.9764616029	0.137186814
114	0.9764976366	0.1369845447
115	0.9765827952	0.1366661583
116	0.976649387	0.1363985885
117	0.9766754715	0.1362433517
118	0.9767056719	0.1360084563
119	0.976759483	0.1356785587
120	0.9767962174	0.1353808677
121	0.9768270013	0.135159712
122	0.9768525215	0.1349572185
123	0.9768871595	0.1347112566
124	0.9769296102	0.1343747269
125	0.9769921952	0.1340540806
126	0.9770251648	0.1338055021
127	0.9770830681	0.1335615429
128	0.977138665	0.1332820928
129	0.9771858572	0.1330027808
130	0.9772070077	0.1327857913
131	0.9772581548	0.1325107963
132	0.9772935987	0.1322459108
133	0.9773386687	0.1319831409
134	0.977362276	0.1318301482
135	0.9773900456	0.1316257959
136	0.9774170649	0.1314185594
137	0.977442809	0.1311963425
138	0.9774713121	0.1309721353
139	0.9775211784	0.1307925249
140	0.9775350635	0.130624525
141	0.9775568411	0.1304095487
142	0.9775807871	0.1302177789
143	0.9776157578	0.1299848466
144	0.9776466892	0.1297633859
145	0.9776907888	0.1294850989
146	0.9777246941	0.1292127796
147	0.9777573764	0.1289880965
148	0.9778160088	0.1287190632
149	0.9778743373	0.1284372498
150	0.9779024692	0.128203007
151	0.9779210395	0.1280158936
152	0.9779676203	0.1277843519
153	0.9780081289	0.1275026756
154	0.9780531303	0.1273201219
155	0.9780759204	0.1271512774
156	0.9781060898	0.1269415556
157	0.9781444466	0.1267192539
158	0.9781742679	0.126514621
159	0.9782144255	0.1262983048
160	0.9782364792	0.1261328397
161	0.9782677735	0.1259380464
162	0.9782970023	0.1257258712
163	0.9783145529	0.1256035204
164	0.9783355365	0.1254240006
165	0.9783620408	0.1252140899
166	0.9783947897	0.1250560724
167	0.9784214624	0.124891043
168	0.9784513412	0.1247041785
169	0.9784859169	0.1244582654
170	0.9785325515	0.1241648803
171	0.9785778465	0.1239027593
172	0.9786026481	0.1237075261
173	0.9786339865	0.1235110938
174	0.9786675826	0.1232549161
175	0.9786991898	0.1230321201
176	0.9787207893	0.1229186652
177	0.978742163	0.1227191053
178	0.978776946	0.122454804
179	0.9787962551	0.1222947045
180	0.9788291362	0.1220973394
181	0.9788719351	0.1218692425
182	0.9789023557	0.1216344762
183	0.9789244829	0.1214906823
184	0.9789566712	0.1213195998
185	0.9790105986	0.1210814572
186	0.9790365013	0.1208937924
187	0.979055338	0.1207753966
188	0.9790911721	0.1205860565
189	0.9791265338	0.1204129549
190	0.9791489815	0.1202258527
191	0.9791766489	0.1200556389
192	0.979211282	0.1197956306
193	0.9792483919	0.1196251313
194	0.979267366	0.1194626381
195	0.9792870805	0.119339002
196	0.9793158291	0.1191377451
197	0.9793315971	0.1190344942
198	0.9793646758	0.1188654193
199	0.9793886823	0.1187232965
200	0.9794076457	0.1185799677
201	0.9794324622	0.1184000937
202	0.9794571554	0.1182448632
203	0.9794859827	0.1180450721
204	0.9795061707	0.1178924006
205	0.9795500162	0.1176443145
206	0.9795688468	0.1175193446
207	0.9796012412	0.1173658258
208	0.9796241388	0.1172097829
209	0.9796373997	0.1170900264
210	0.9796633768	0.1169358982
211	0.9796967803	0.1167069443
212	0.9797135184	0.1165813161
213	0.9797485967	0.1164071672
214	0.9797921488	0.1161811217
215	0.9798149684	0.1160393897
216	0.9798352568	0.1158711016
217	0.9798624422	0.1156971159
218	0.9798797994	0.1155545845
219	0.9799005552	0.1154247627
220	0.9799168417	0.1152984632
221	0.9799417917	0.1151537977
222	0.979977761	0.115016538
223	0.9799977357	0.1148675028
224	0.9800310528	0.114728765
225	0.9800605897	0.1145796556
226	0.9800738218	0.1144814628
227	0.9801044786	0.1142920457
228	0.9801240364	0.1141703967
229	0.9801404691	0.1140492656
230	0.9801689919	0.1139174297
231	0.9801839677	0.1137975251
232	0.9802109857	0.1136438466
233	0.9802396355	0.1134721255
234	0.9802634191	0.1133405106
235	0.9802847765	0.1132092496
236	0.9803032941	0.113084349
237	0.9803247016	0.1129642242
238	0.980338588	0.112878433
239	0.9803739097	0.112675678
240	0.9804040021	0.112541886
241	0.9804168693	0.1124540857
242	0.9804464658	0.1122775312
243	0.9804716917	0.1121135493
244	0.9804971931	0.1119404201
245	0.9805268816	0.1117662241
246	0.980544885	0.1116610184
247	0.9805669757	0.1115316505
248	0.9806048279	0.1113435363
249	0.980623817	0.1112304077
250	0.9806471962	0.1110850078
251	0.9806650423	0.1109472008
252	0.980686104	0.1108437901
253	0.9807158767	0.1106890445
254	0.9807506878	0.110484837
255	0.9807663565	0.1103839025
256	0.980791635	0.1102376462
257	0.9808112941	0.1100719817
258	0.9808322997	0.1099378248
259	0.9808490674	0.1098377544
260	0.9808737524	0.1096661654
261	0.9808903968	0.1095724603
262	0.9809122941	0.1094168629
263	0.9809340626	0.1092784123
264	0.9809560449	0.1091634948
265	0.98098655	0.1089885137
266	0.9810139496	0.1088036299
267	0.9810492117	0.1086157562
268	0.9810788432	0.1084653921
269	0.981099289	0.1082857923
270	0.9811282637	0.1081378089
271	0.9811537471	0.1079949108
272	0.9811714877	0.1078737698
273	0.9812037367	0.1077169691
274	0.98123302	0.1075345088
275	0.9812510399	0.1074501376
276	0.9812663337	0.1073590119
277	0.9812827685	0.1072651
278	0.9813103454	0.1071122837
279	0.9813264787	0.1070087917
280	0.9813410705	0.1069314824
281	0.9813630884	0.1067938746
282	0.9813885924	0.1066239642
283	0.9814087844	0.1064443621
284	0.9814341132	0.1062944397
285	0.9814635981	0.1061375137
286	0.9814867727	0.1059795579
287	0.981501343	0.1059052479
288	0.981533747	0.1057314473
289	0.9815534999	0.1055933353
290	0.9815783807	0.1054610835
291	0.9816030128	0.105292805
292	0.9816306156	0.1051436903
293	0.9816535918	0.1050073736
294	0.9816793863	0.1048646634
295	0.9817027044	0.1047642559
296	0.9817302076	0.1046637902
297	0.9817507602	0.1045406162
298	0.9817797997	0.1044100779
299	0.981796697	0.1043152566
300	0.9818169257	0.1041664295
301	0.9818337964	0.104064229
302	0.9818518128	0.103914986
303	0.9818739248	0.1037483651
304	0.9818966345	0.1036080191
305	0.9819242952	0.1034750134
306	0.9819548078	0.1033242625
307	0.981989551	0.1031432867
308	0.9820006035	0.1030662834
309	0.9820217909	0.1029706508
310	0.9820369401	0.1028926646
311	0.9820532266	0.1027992796
312	0.9820674677	0.1026904443
313	0.9820804089	0.1025920463
314	0.9821028491	0.1024416077
315	0.9821227504	0.1023127988
316	0.9821424594	0.1022344191
317	0.9821608057	0.1021333821
318	0.9821785165	0.1019941118
319	0.9821967676	0.1018760256
320	0.9822284926	0.1016863907
321	0.9822451202	0.1015566531
322	0.9822579925	0.1014387245
323	0.982286408	0.1013055588
324	0.9823069375	0.1011401963
325	0.9823321721	0.1010269652
326	0.9823506165	0.1009227809
327	0.982371024	0.1007856194
328	0.9823874065	0.1006811597
329	0.9824005379	0.1005843976
330	0.9824318137	0.1004297027
331	0.98244879	0.1003040742
332	0.9824709286	0.1001972301
333	0.9824965081	0.1000598915
334	0.9825181861	0.0999770822
335	0.9825416705	0.09985542966
336	0.9825535174	0.09977162205
337	0.9825755317	0.09963543737
338	0.9825987103	0.09951379897
339	0.9826148502	0.09940799557
340	0.9826354617	0.09930482258
341	0.982664962	0.09914894882
342	0.9826743763	0.09905572543
343	0.9826941476	0.0989640892
344	0.9827186126	0.09882922181
345	0.9827423313	0.09869614886
346	0.9827665779	0.0985405481
347	0.9827945838	0.0984075603
348	0.98280409	0.09831465764
349	0.982835013	0.09815899832
350	0.9828495929	0.09807759517
351	0.9828689331	0.0979715356
352	0.9828880891	0.09784939416
353	0.9829036424	0.09773843964
354	0.9829148444	0.09767109081
355	0.9829457108	0.0975325002
356	0.9829691815	0.09738843115
357	0.9829844571	0.09726815045
358	0.9830031441	0.09718712602
359	0.9830226481	0.09710453371
360	0.9830424011	0.09698750578
361	0.9830578042	0.09688702776
362	0.9830864868	0.09674076837
363	0.9831111895	0.09658934151
364	0.9831331094	0.09647469588
365	0.9831529939	0.0963530061
366	0.9831694328	0.09621660225
367	0.9831940144	0.09607751965
368	0.9832154977	0.09596175841
369	0.9832291523	0.09589115804
370	0.9832499495	0.0958144926
371	0.983265327	0.09571897256
372	0.983282271	0.09563694552
373	0.9833098656	0.09548483027
374	0.9833297581	0.09541331303
375	0.9833451392	0.09530461057
376	0.983359579	0.09523247316
377	0.9833814781	0.09511448473
378	0.983413435	0.09496497077
379	0.9834258417	0.09489047413
380	0.983444139	0.09477555937
381	0.9834655087	0.09468321354
382	0.9834783232	0.094598233
383	0.9835018552	0.09447565625
384	0.9835083722	0.09439836357
385	0.983525388	0.09429439177
386	0.9835434072	0.09419909074
387	0.9835597974	0.09412212179
388	0.9835745895	0.09401938579
389	0.9835941147	0.09394220166
390	0.9836167436	0.09382814806
391	0.9836403453	0.09369847631
392	0.9836568327	0.09357193439
393	0.9836800912	0.09345552457
394	0.9836995892	0.09334267008
395	0.9837112196	0.09329119098
396	0.9837325688	0.0931748821
397	0.9837519125	0.09306880869
398	0.9837688102	0.09297674646
399	0.9837810068	0.09289072868
400	0.9838097882	0.09276590901
401	0.9838180041	0.09270785227
402	0.9838456912	0.09258501418
403	0.9838587678	0.09252536169
404	0.9838758268	0.09244549235
405	0.9838902203	0.0923433415
406	0.9839142414	0.09220863655
407	0.9839280406	0.09213145446
408	0.9839454143	0.09202895927
409	0.9839688424	0.09190429362
410	0.9839903591	0.09179364809
411	0.9840101506	0.09172054045
412	0.9840253004	0.09163743793
413	0.9840388211	0.09156709242
414	0.9840619398	0.09145060036
415	0.9840832398	0.09135962474
416	0.9841024721	0.0912397418
417	0.9841176245	0.0911852703
418	0.9841292674	0.09109282516
419	0.9841415644	0.09102510692
420	0.9841549003	0.09097009097
421	0.9841618356	0.09091110841
422	0.9841762345	0.09084000318
423	0.9842029713	0.09070990207
424	0.9842185358	0.09063144499
425	0.9842355118	0.09052054569
426	0.9842539343	0.09040189707
427	0.9842715391	0.09031844395
428	0.9842856947	0.09025328206
429	0.9842986281	0.09019181394
430	0.9843152028	0.09010265403
431	0.9843257489	0.09004786454
432	0.9843467134	0.08991897327
433	0.9843587668	0.08983800112
434	0.9843782258	0.08972416999
435	0.9843918166	0.0896445939
436	0.9844153278	0.08952854253
437	0.984426755	0.08945002587
438	0.9844465036	0.08933155155
439	0.9844627995	0.08923314139
440	0.9844823249	0.08913339874
441	0.9844986552	0.08901976184
442	0.984521381	0.08891335457
443	0.9845449977	0.08879759226
444	0.9845596604	0.08871619516
445	0.9845783764	0.08858979448
446	0.9845954268	0.08848238582
447	0.9846164014	0.08837492224
448	0.9846297509	0.08830083565
449	0.9846371415	0.08824277957
450	0.9846623559	0.08813008255
451	0.9846804183	0.08803626579
452	0.9846948042	0.08798408633
453	0.9847162561	0.08789257591
454	0.9847313677	0.08780827225
455	0.9847412944	0.08774130809
456	0.9847668905	0.08760794032
457	0.9847807762	0.08754572492
458	0.9847942853	0.08743330338
459	0.9848040537	0.08736723313
460	0.9848218654	0.08725243145
461	0.9848478758	0.08714353155
462	0.9848638326	0.08703714895
463	0.9848847883	0.08692844129
464	0.9849021626	0.08682537125
465	0.984910681	0.08675685425
466	0.9849255421	0.08666185705
467	0.9849468146	0.08655841549
468	0.9849667679	0.08644847154
469	0.9849925677	0.08631661149
470	0.9850053909	0.08624878588
471	0.9850202888	0.08613827857
472	0.985036633	0.086075134
473	0.9850532921	0.08598543522
474	0.9850681915	0.0859020537
475	0.9850880294	0.08579167384
476	0.9850996606	0.08571051286
477	0.9851128353	0.08562031539
478	0.9851325091	0.08550484853
479	0.9851504006	0.08539416324
480	0.9851624733	0.08532128284
481	0.9851804572	0.08522647322
482	0.9851938167	0.08513839751
483	0.9852123331	0.08505037867
484	0.9852246306	0.08499220479
485	0.9852398496	0.08489814411
486	0.9852505409	0.08482962117
487	0.9852680248	0.08472437861
488	0.9852844054	0.08460944811
489	0.9853015132	0.08453696188
490	0.9853265188	0.08439514164
491	0.9853369884	0.08432966661
492	0.985356167	0.08423967754
493	0.9853727459	0.08413734498
494	0.9853962733	0.08401891899
495	0.9854150485	0.08391534339
496	0.9854258694	0.0838681349
497	0.9854349568	0.08381724618
498	0.9854421012	0.083772417
499	0.9854698897	0.08361596813
500	0.9854864303	0.08353604479
501	0.9855102149	0.08340322715
502	0.9855249392	0.08332490397
503	0.9855371469	0.08326652889
504	0.9855505506	0.08321475972
505	0.9855718486	0.0831186695
506	0.9855883215	0.08305130451
507	0.9856078311	0.0829474429
508	0.9856317118	0.0828382658
509	0.9856469786	0.08274153226
510	0.9856690002	0.08263827318
511	0.9856800783	0.08255816018
512	0.9856957517	0.08247424213
513	0.9857123699	0.08238698556
514	0.9857253375	0.08233383896
515	0.9857360748	0.0822699388
516	0.9857483505	0.08219879837
517	0.9857624795	0.08213091744
518	0.985776078	0.08205409707
519	0.9857983294	0.08194172843
520	0.985811398	0.08188046424
521	0.9858307905	0.08178836332
522	0.9858464057	0.08170358007
523	0.9858694876	0.08158052991
524	0.985887434	0.08151877548
525	0.9858982563	0.08145464224
526	0.9859094025	0.08138331849
527	0.985920333	0.08132280792
528	0.9859349435	0.08125914732
529	0.9859552225	0.08116780895
530	0.9859693302	0.08107821852
531	0.9859912843	0.08094842441
532	0.9860037915	0.0808549537
533	0.9860189714	0.08080017711
534	0.9860409452	0.08069842242
535	0.9860536065	0.08064593246
536	0.9860648823	0.08059204564
537	0.9860783364	0.08051565617
538	0.9860995397	0.08041642932
539	0.9861218318	0.08030455333
