iter	Passed	Remaining
0	489	733871
1	755	565994
2	1097	547490
3	1413	528654
4	1721	514616
5	2007	499972
6	2372	506022
7	2710	505598
8	3074	509298
9	3404	507219
10	3729	504804
11	4110	509651
12	4430	506730
13	4739	503055
14	5083	503265
15	5430	503639
16	5774	503766
17	6142	505708
18	6495	506323
19	6803	503439
20	7125	501813
21	7484	502835
22	7780	499667
23	8117	499241
24	8452	498679
25	8787	498172
26	9145	498917
27	9488	498849
28	9850	499638
29	10189	499282
30	10573	501032
31	10902	500150
32	11266	500863
33	11641	501962
34	11946	500060
35	12307	500491
36	12676	501228
37	13057	502367
38	13398	501930
39	13748	501838
40	14067	500589
41	14390	499547
42	14744	499603
43	15063	498457
44	15417	498511
45	15814	499872
46	16136	498863
47	16521	499763
48	16950	501944
49	17316	502172
50	17645	501332
51	18034	502195
52	18369	501511
53	18693	500559
54	19114	502193
55	19493	502652
56	19831	502046
57	20225	502853
58	20611	503419
59	21013	504319
60	21451	506038
61	21881	507506
62	22234	507149
63	22640	508006
64	23015	508119
65	23346	507258
66	23700	506913
67	24107	507679
68	24449	507051
69	24865	507970
70	25271	508634
71	25611	507967
72	26023	508698
73	26437	509458
74	26808	509361
75	27151	508726
76	27513	508472
77	27880	508284
78	28242	508014
79	28629	508182
80	29036	508673
81	29420	508752
82	29839	509426
83	30231	509619
84	30658	510380
85	31051	510542
86	31397	509936
87	31777	509880
88	32208	510629
89	32686	512081
90	33062	511925
91	33434	511691
92	33819	511653
93	34210	511708
94	34621	512038
95	34989	511718
96	35399	512009
97	35753	511501
98	36089	510722
99	36429	510019
100	36822	510039
101	37180	509589
102	37557	509397
103	37919	508992
104	38281	508600
105	38686	508769
106	39021	508012
107	39431	508227
108	39840	508427
109	40250	508616
110	40610	508176
111	40979	507858
112	41346	507497
113	41753	507629
114	42119	507262
115	42509	507187
116	42872	506774
117	43230	506306
118	43601	505993
119	44038	506442
120	44449	506578
121	44805	506077
122	45156	505528
123	45559	505566
124	45962	505583
125	46346	505395
126	46741	505321
127	47102	504875
128	47519	505028
129	47926	505076
130	48318	504947
131	48746	505189
132	49162	505301
133	49575	505374
134	49915	504700
135	50321	504695
136	50686	504277
137	51084	504180
138	51474	504004
139	51800	503206
140	52164	502773
141	52511	502185
142	52894	501938
143	53320	502104
144	53719	501999
145	54155	502234
146	54588	502436
147	54992	502365
148	55375	502097
149	55807	502270
150	56210	502173
151	56608	502024
152	57000	501823
153	57431	501963
154	57796	501526
155	58149	500976
156	58558	500920
157	58970	500877
158	59321	500317
159	59717	500134
160	60081	499686
161	60438	499179
162	60868	499269
163	61221	498733
164	61583	498262
165	61971	498015
166	62325	497483
167	62710	497204
168	63084	496834
169	63486	496691
170	63928	496849
171	64333	496713
172	64707	496339
173	65105	496148
174	65550	496314
175	66008	496563
176	66359	496009
177	66744	495709
178	67225	496116
179	67574	495542
