iter	Passed	Remaining
0	5285	7922274
1	10648	7975832
2	15806	7887692
3	21205	7931010
4	26467	7913646
5	31673	7886597
6	36805	7850058
7	42082	7848355
8	47585	7883293
9	52891	7880902
10	58085	7862727
11	63300	7849307
12	68180	7798744
13	73732	7826141
14	78782	7799429
15	84082	7798691
16	89224	7783556
17	94025	7741446
18	98787	7700227
19	103797	7680984
20	108732	7657897
21	113718	7639820
22	118471	7607925
23	123535	7597450
24	128873	7603522
25	133854	7588520
26	138475	7554599
27	143647	7551764
28	148459	7530478
29	153542	7523579
30	158474	7509664
31	163661	7507962
32	168281	7480870
33	174012	7503024
34	179479	7512508
35	185040	7524993
36	190136	7518100
37	195158	7508458
38	200427	7508326
39	205151	7488022
40	210235	7481293
41	214924	7460966
42	219725	7445125
43	225173	7451191
44	230039	7437945
45	235262	7436341
46	240132	7423665
47	244975	7410518
48	250165	7407951
49	255657	7414062
50	260774	7409052
51	265432	7391280
52	270476	7384516
53	275974	7389970
54	281324	7391162
55	286868	7397101
56	292347	7401013
57	297221	7389553
58	302304	7383408
59	307471	7379317
60	312731	7377393
61	317864	7372394
62	322900	7365206
63	328606	7373116
64	333678	7366590
65	338769	7360544
66	344094	7359523
67	349773	7365815
68	354910	7360540
69	360463	7363753
70	365155	7349389
71	370222	7342754
72	375868	7347456
73	380418	7330772
74	384383	7303290
75	388301	7275545
76	392244	7248889
77	396302	7224899
78	400315	7200605
79	403951	7170136
80	408081	7148976
81	412445	7132296
82	416357	7108170
83	420442	7087466
84	423564	7051095
85	426508	7012586
86	429315	6972671
87	432199	6934844
88	435350	6902018
89	438420	6868591
90	441514	6836199
91	444687	6805652
92	447713	6773473
93	450934	6744821
94	454084	6715663
95	457305	6688094
96	460407	6659294
97	463721	6634049
98	466986	6608566
99	469669	6575376
100	472962	6551234
101	475954	6523375
102	479171	6499050
103	482419	6475556
104	485420	6449151
105	488470	6423847
106	491628	6400363
107	494512	6373715
108	497472	6348483
109	500590	6325642
110	503587	6301648
111	506848	6281295
112	509906	6258758
113	513230	6239804
114	516209	6216952
115	519052	6192834
116	522259	6173379
117	525488	6154453
118	528744	6136105
119	531832	6116078
120	534901	6096106
121	538219	6079238
122	541334	6060310
123	544344	6040464
124	547569	6023261
125	550727	6005555
126	553790	5987043
127	556768	5967864
128	560012	5951760
129	563097	5934185
130	565911	5913994
131	569205	5899036
132	572364	5882877
133	575221	5863827
134	578254	5846799
135	581378	5830887
136	584513	5815269
137	587231	5795719
138	590485	5781662
139	593625	5766649
140	596800	5752140
141	599943	5737492
142	603045	5722602
143	606102	5707469
144	609243	5693278
145	611933	5675053
146	614620	5657020
147	617235	5638530
148	620257	5623949
149	623474	5611270
150	626461	5596664
151	629643	5583941
152	632635	5569672
153	635712	5556292
154	638398	5539652
155	641186	5524064
156	644012	5508969
157	647180	5496937
158	649919	5481396
159	653102	5469734
160	656318	5458453
161	659332	5445595
162	662539	5434449
163	665776	5423644
164	668603	5409608
165	671864	5399199
166	674683	5385351
167	677718	5373338
168	681002	5363400
169	683827	5349947
170	686563	5335926
171	689837	5326190
172	693249	5317583
173	696428	5307264
174	699915	5299360
175	703205	5290020
176	706377	5279873
177	709407	5268745
178	712389	5257354
179	715636	5248003
180	718998	5239551
181	722259	5230425
182	725477	5221061
183	728574	5210892
184	731846	5202046
185	735003	5192443
186	738248	5183533
187	741476	5174562
188	745074	5168212
189	748207	5158691
190	751576	5150855
191	754923	5142914
192	757419	5129262
193	760251	5117984
194	763400	5108908
195	766475	5099405
196	769445	5089279
197	772423	5079270
198	775276	5068516
199	778336	5059185
200	781230	5048846
201	784273	5039541
202	786654	5026066
203	789826	5017721
204	793052	5009771
205	796206	5001412
206	799389	4993289
207	802494	4984727
208	805492	4975556
209	808457	4966240
210	811141	4955264
211	814229	4946831
212	816745	4934982
213	818969	4921469
214	821209	4908158
215	824450	4900897
216	826783	4888311
217	829058	4875472
218	831337	4862753
219	833726	4850772
220	835954	4837943
221	838209	4825365
222	840491	4813041
223	842769	4800779
224	845587	4791661
225	848648	4783975
226	851637	4775922
227	855120	4770673
228	857481	4759209
229	859761	4747378
230	862069	4735784
231	864353	4724138
232	866656	4712679
233	868934	4701157
234	871250	4689921
235	873563	4678747
236	875922	4667890
237	878246	4656919
238	880616	4646267
239	882914	4635301
240	885259	4624655
241	887533	4613705
242	889778	4602682
243	892060	4591918
244	894323	4581128
245	896665	4570807
246	898989	4560458
247	901285	4550039
248	904185	4542716
249	906582	4532913
250	908848	4522517
251	911153	4512378
252	913479	4502405
253	915779	4492367
254	918071	4482350
255	920342	4472289
256	922602	4462238
257	925477	4455205
258	928001	4446523
259	930619	4438340
260	933703	4432410
261	936910	4427081
262	939715	4419880
263	942465	4412450
264	945713	4407382
265	948604	4400669
266	951582	4394385
267	954425	4387508
268	957416	4381338
269	960458	4375423
270	963758	4370700
271	966345	4362767
272	969284	4356453
273	972180	4349976
274	975206	4344103
275	978591	4339842
276	981738	4334536
277	985061	4330018
278	988089	4324219
279	991520	4320198
280	994564	4314498
281	997238	4307222
282	1000319	4301726
283	1003202	4295400
284	1006197	4289579
285	1008811	4282157
286	1011655	4275742
287	1014678	4270103
288	1017789	4264856
289	1020484	4257884
290	1023022	4250290
291	1025507	4242512
292	1028425	4236550
293	1031100	4229616
294	1033847	4223004
295	1036702	4216856
296	1039347	4209881
297	1041744	4201937
298	1044696	4196256
299	1047537	4190151
300	1050731	4185471
301	1053283	4178256
302	1056077	4172029
303	1058575	4164659
304	1061942	4160726
305	1064331	4152981
306	1066620	4144879
307	1068848	4136582
308	1071329	4129300
309	1073795	4121988
310	1076220	4114554
311	1079377	4109937
312	1081990	4103268
313	1084574	4096512
314	1087136	4089704
315	1090204	4084816
316	1093137	4079438
317	1096128	4074289
318	1098576	4067142
319	1100956	4059777
320	1103293	4052282
321	1105707	4045102
322	1108117	4037938
323	1110472	4030605
324	1112850	4023383
325	1115207	4016116
326	1117619	4009075
327	1120064	4002181
328	1122574	3995547
329	1125013	3988684
330	1127515	3982072
331	1129984	3975365
332	1132998	3970600
333	1136073	3966053
334	1139014	3961049
335	1142090	3956528
336	1144846	3950910
337	1147372	3944518
338	1150522	3940284
339	1153728	3936251
340	1156181	3929660
341	1158834	3923772
342	1161153	3916778
343	1163715	3910624
344	1166139	3904032
345	1168628	3897678
346	1170983	3890905
347	1174125	3886760
348	1176450	3879928
349	1178875	3873446
350	1181880	3868890
351	1184284	3862382
352	1187333	3857993
353	1190454	3853842
354	1192961	3847720
355	1195420	3841462
356	1197822	3835045
357	1200863	3830688
358	1203383	3824682
359	1205945	3818826
360	1208456	3812829
361	1211188	3807547
362	1214225	3803234
363	1217362	3799240
364	1219728	3792853
365	1222138	3786627
366	1224591	3780550
367	1227073	3774585
368	1229484	3768420
369	1231920	3762352
370	1234523	3756812
371	1237150	3751358
372	1239758	3745866
373	1242277	3740117
374	1244727	3734182
375	1247269	3728538
376	1249694	3722564
377	1252168	3716754
378	1254552	3710696
379	1257021	3704905
380	1259510	3699192
381	1262019	3693555
382	1264556	3688016
383	1267047	3682357
384	1269504	3676615
385	1271915	3670761
386	1274390	3665108
387	1276846	3659414
388	1279374	3653946
389	1281972	3648691
390	1284476	3643183
391	1286996	3637735
392	1289414	3632013
393	1291857	3626381
394	1294258	3620647
395	1296702	3615049
396	1299304	3609906
397	1301764	3604383
398	1304237	3598911
399	1306705	3593440
400	1309152	3587925
401	1311687	3582667
402	1314188	3577332
403	1316790	3572283
404	1319278	3566938
405	1321784	3561655
406	1324248	3556273
407	1326699	3550871
408	1329173	3545546
409	1331579	3540051
410	1334014	3534650
411	1336521	3529454
412	1339127	3524532
413	1341609	3519294
414	1344211	3514385
415	1346676	3509128
416	1349158	3503929
417	1351659	3498793
418	1354191	3493750
419	1356683	3488615
420	1359204	3483566
421	1361654	3478348
422	1364193	3473373
423	1366645	3468186
424	1369195	3463259
425	1371616	3458020
426	1374068	3452868
427	1376458	3447579
428	1378869	3442351
429	1381371	3437365
430	1383821	3432261
431	1386306	3427257
432	1388727	3422106
433	1391189	3417069
434	1393592	3411898
435	1396122	3407050
436	1398604	3402098
437	1401093	3397171
438	1403681	3392496
439	1406218	3387709
440	1408707	3382813
441	1411256	3378076
442	1413743	3373199
443	1416222	3368313
444	1418701	3363439
445	1421177	3358566
446	1423632	3353657
447	1426139	3348880
448	1428759	3344378
449	1431320	3339747
450	1433829	3335005
451	1436265	3330102
452	1438808	3325458
453	1441362	3320848
454	1443926	3316271
455	1446460	3311633
456	1448889	3306766
457	1451302	3301870
458	1453719	3296997
459	1456293	3292489
460	1458725	3287670
461	1461161	3282870
462	1463665	3278231
463	1466095	3273438
